,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Course,Rank,,Course,Times Played,Maintenance,Fairways,Rough/Waste,Bunkers,Greens,Layout,Difficulty,Aura,Range,Clubhouse/Bar,Playability,Course,Experience,Value,Par,Distance,Index,Slope,Twilight Value,Weekday Morning,Weekday Afternoon,Weekday Twilight,Weekend Morning,Weekend Afternoon,Weekend Twilight,Twilight Time,Rate Calc,Rate Calc Rank,Twilight Rank Calc,Twilight Rank,,Enter Your Handicap,9.8,Expected Score to Par,0 Handicap,9 Handicap,18 Handicap,,,Rating System:,,,,,,,
The Courses at Watters Creek - Traditions Course,36,,The Courses at Watters Creek - Traditions Course,0,3.50,3.25,3.50,3.50,3.50,3.50,4.00,3.50,3.50,3.50,3.96,3.54,3.57,3.25,72,7015,74.4,136,1.75,$55.00,$55.00,$55.00,$75.00,$75.00,$75.00,x,2.72,43,0.05,16,,,,+18,+4,+17,+30,,,,,,,,,,
Bear Creek Golf Club - West Course,37,,Bear Creek Golf Club - West Course,1,3.50,3.50,3.75,3.00,3.00,4.00,4.00,3.50,3.00,3.50,3.75,3.52,3.54,2.25,72,6677,73.7,140,3.25,$64.95,$64.95,$44.95,$86.95,$86.95,$52.95,0.13,2.32,27,0.07,43,,,,+18,+4,+17,+30,,,,,,,,,,
Champions Circle Golf Club,38,,Champions Circle Golf Club,0,3.50,3.50,3.25,3.25,3.50,3.25,4.00,3.25,3.25,3.25,3.87,3.46,3.47,2.75,72,7005,73.7,143,2.25,$59.00,$59.00,$48.00,$79.00,$79.00,$63.00,0.13,2.51,33,0.05,24,,,,+18,+4,+17,+30,,,,,,,,,,
The Resort Golf Club,39,,The Resort Golf Club,0,3.50,3.25,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.50,3.37,3.44,3.47,3.00,72,6636,73.4,140,2.25,$55.00,$50.00,$45.00,$83.00,$75.00,$65.00,0.08,2.61,41,0.05,23,,,,+16,+3,+15,+27,,,,,,,,,,
Indian Creek Golf Club - Lakes Course,40,,Indian Creek Golf Club - Lakes Course,1,3.50,3.50,3.25,3.25,3.50,3.25,3.50,3.25,3.50,3.50,3.69,3.43,3.46,3.75,72,7000,74.0,132,3.25,$51.00,$51.00,$46.00,$65.00,$65.00,$50.00,0.08,2.96,55,0.07,45,,,,+14,+1,+13,+25,,,,,,,,,,
The Golf Club at Twin Creeks,41,,The Golf Club at Twin Creeks,1,3.25,3.25,3.50,3.50,3.50,3.75,2.75,3.50,4.50,4.25,3.43,3.43,3.52,2.00,72,6840,73.2,131,2.75,$59.95,$59.95,$44.95,$99.95,$99.95,$56.95,0.13,2.14,22,0.06,36,,,,+17,+4,+16,+28,,,,,,,,,,
Irving Golf Club,42,,Irving Golf Club,12,3.75,3.75,3.50,3.75,4.00,3.50,2.00,2.75,4.50,3.75,2.87,3.42,3.49,4.25,71,6632,71.8,127,3.00,$50.00,$50.00,$45.00,$60.00,$55.00,$52.00,0.08,3.18,63,0.07,41,,,,+19,+5,+18,+31,,,,,,,,,,
Sherrill Park Golf Course - Course 2,43,,Sherrill Park Golf Course - Course 2,0,3.75,3.75,3.50,3.50,3.75,3.50,1.75,3.25,3.25,3.25,2.50,3.40,3.41,4.75,70,6375,69.4,125,4.25,$47.00,$39.00,$36.00,$55.00,$43.00,$41.00,0.17,3.69,75,0.08,64,,,,+15,+2,+14,+27,,,,,,,,,,
Stevens Park Golf Course,44,,Stevens Park Golf Course,10,3.50,3.50,3.50,3.50,3.50,3.50,2.00,3.50,0.00,3.50,2.48,3.33,3.25,3.50,70,6285,71.6,130,3.25,$56.00,$49.00,$43.00,$69.00,$56.00,$49.00,0.13,2.90,52,0.07,44,,,,+19,+5,+18,+31,,,,,,,,,,
Firewheel Golf Park - Old Course,45,,Firewheel Golf Park - Old Course,0,3.25,3.25,3.25,3.25,3.25,3.25,3.75,3.25,3.25,3.25,3.61,3.31,3.33,4.25,71,6845,74.1,135,3.75,$44.00,$44.00,$31.00,$58.00,$58.00,$43.00,,3.24,65,0.08,57,,,,+16,+4,+16,+27,,,,,,,,,,
Pinnacle Golf Club,46,,Pinnacle Golf Club,75,3.50,3.50,3.00,2.75,4.00,3.50,2.00,3.50,3.00,4.00,2.55,3.28,3.31,3.00,72,6349,71.8,132,3.00,$43.00,$43.00,$32.00,$79.00,$79.00,$50.00,0.13,2.69,42,0.07,40,,,,+17,+4,+17,+29,,,,,,,,,,
Hidden Creek Golf Club,47,,Hidden Creek Golf Club,0,3.25,3.00,3.25,3.25,3.25,3.25,4.00,3.25,3.25,3.25,3.67,3.28,3.30,4.50,71,6829,73.8,139,5.00,$40.00,$40.00,$29.00,$56.00,$56.00,$31.00,0.13,3.42,70,0.11,78,,,,+18,+4,+17,+30,,,,,,,,,,
Rusted Rail,48,,Rusted Rail,1,3.50,3.50,3.50,3.25,3.25,2.50,2.50,3.00,3.25,3.00,3.33,3.26,3.27,2.75,72,7218,74.1,119,4.25,$55.00,$55.00,$40.00,$75.00,$75.00,$40.00,0.19,2.51,34,0.08,63,,,,+20,+6,+19,+32,,,,,,,,,,
Riverside Golf Club,49,,Riverside Golf Club,1,3.50,3.50,3.50,3.25,3.25,3.00,3.50,2.50,3.25,2.00,3.56,3.26,3.24,3.00,72,6957,74.1,131,3.00,$55.00,$55.00,$43.00,$73.00,$68.00,$52.00,0.13,2.60,40,0.06,39,,,,+16,+3,+15,+27,,,,,,,,,,
Bear Creek Golf Club - East Course,50,,Bear Creek Golf Club - East Course,1,3.50,3.50,3.50,3.00,1.75,3.50,3.50,3.00,3.00,3.50,3.41,3.21,3.23,2.25,72,6670,73.6,139,3.00,$59.95,$59.95,$44.95,$82.95,$82.95,$52.95,0.13,2.25,24,0.06,38,,,,+20,+6,+19,+32,,,,,,,,,,
Firewheel Golf Park - Lakes Course,51,,Firewheel Golf Park - Lakes Course,2,3.25,3.25,3.25,3.25,3.50,3.00,4.50,2.00,3.75,2.50,4.09,3.18,3.19,4.00,72,7134,75.5,139,3.75,$44.00,$44.00,$31.00,$58.00,$58.00,$43.00,0.13,3.12,61,0.07,54,,,,+14,+1,+13,+25,,,,,,,,,,
